,lables,Count
0, 31-10-2019,55
1, 30-11-2019,55
2, 31-05-2019,54
3, 30-06-2019,54
4, 31-07-2019,54
5, 31-08-2019,53
6, 31-12-2019,53
7, 31-01-2020,53
8, 29-02-2020,53
9, 30-09-2019,52
10, 31-03-2020,52
11, 30-04-2020,51
12, 31-05-2020,51
13, 30-06-2020,50
